n,c,P,parameter_path,category,available,m,explicit_tail_upper,hybrid_tail_upper,lambda_ref,u_ref,finite_lower,finite_upper,explicit_lower,explicit_upper,explicit_width,explicit_contains_reference,hybrid_lower,hybrid_upper,hybrid_width,hybrid_contains_reference,ordinary_observed_finite_Ritz_error
0,20,11,fixed continuous c,edge,True,2,0.41855624098484995,0.47461254192357055,0.9999999874847763,1.7830181775480014e-12,-19.851823685187597,22.61326217887948,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.38071925936116613
0,20,11,fixed continuous c,knee,True,6,0.41855624098484995,0.47461254192357055,0.39506094010498877,8.820721930646869e-13,-20.888589705032906,21.57649615903417,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.05110771310435641
0,20,11,fixed continuous c,tail,True,8,0.41855624098484995,0.47461254192357055,0.0002714739515923361,1.1102230246251565e-13,-21.19984856895884,21.26523729510824,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03242288912310901
0,20,14,fixed continuous c,deep,True,0,0.2739595552925391,0.36300270783041494,1.0000000000000202,2.0827783941967937e-12,-14.649044718442909,30.88240370541955,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.1166794934882995
0,20,14,fixed continuous c,edge,True,2,0.2739595552925391,0.36300270783041494,0.9999999874847763,1.7830181775480014e-12,-21.384896686349396,24.14655173751306,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.38082753809705694
0,20,14,fixed continuous c,knee,True,6,0.2739595552925391,0.36300270783041494,0.39506094010498877,8.820721930646869e-13,-22.39993271166069,23.131515712201768,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.029269439834447797
0,20,14,fixed continuous c,tail,True,8,0.2739595552925391,0.36300270783041494,0.0002714739515923361,1.1102230246251565e-13,-22.732376612658456,22.799071811204,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.033076125321178866
0,20,18,fixed continuous c,deep,True,0,0.19193694815011755,0.27519311067361535,1.0000000000000202,2.0827783941967937e-12,-16.231101476685616,32.46446857498446,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.1166835491494025
0,20,18,fixed continuous c,edge,True,2,0.19193694815011755,0.27519311067361535,0.9999999874847763,1.7830181775480014e-12,-22.96683933346455,25.728730718205526,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.38094570488571167
0,20,18,fixed continuous c,knee,True,6,0.19193694815011755,0.27519311067361535,0.39506094010498877,8.820721930646869e-13,-23.96602572329594,24.729544328374136,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.01330163756588909
0,20,18,fixed continuous c,tail,True,8,0.19193694815011755,0.27519311067361535,0.0002714739515923361,1.1102230246251565e-13,-24.31400175596608,24.381568295703996,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.0335117959173671
0,20,26,fixed continuous c,deep,True,0,0.12280766732813574,0.18256443896192842,1.0000000000000202,2.0827783941967937e-12,-18.531990564722516,34.765368186574484,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.116688810925964
0,20,26,fixed continuous c,edge,True,2,0.12280766732813574,0.18256443896192842,0.9999999874847763,1.7830181775480014e-12,-25.26758088331481,28.029777867982187,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.3810985048489117
0,20,26,fixed continuous c,knee,True,6,0.12280766732813574,0.18256443896192842,0.39506094010498877,8.820721930646869e-13,-26.250786431027677,27.04657232026932,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.0028320045158339857
0,20,26,fixed continuous c,tail,True,8,0.12280766732813574,0.18256443896192842,0.0002714739515923361,1.1102230246251565e-13,-26.614483251423728,26.68287549987327,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03392465027317936
0,20,38,fixed continuous c,deep,True,0,0.08089128568864304,0.11744920320457189,1.0000000000000202,2.0827783941967937e-12,-20.89975330295396,37.13313928184676,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.11669298944638
0,20,38,fixed continuous c,edge,True,2,0.08089128568864304,0.11744920320457189,0.9999999874847763,1.7830181775480014e-12,-27.635225452396956,30.397667132403765,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.3812208525186298
0,20,38,fixed continuous c,knee,True,6,0.08089128568864304,0.11744920320457189,0.39506094010498877,8.820721930646869e-13,-28.60747421048073,29.42541837431999,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.01391114181463915
