n,c,parameter_path,P,Boulsane_N,method,wall_median_seconds,wall_Q1_seconds,wall_Q3_seconds,wall_IQR_seconds,CPU_median_seconds,reused_entry_count,matrix_storage_bytes,offset_path
0,10,fixed continuous c,67,68,project_full_rebuild,0.0032818000036058947,0.0032659499993314967,0.003283400001237169,1.7450001905672252e-05,0.0,0,35912,
0,10,fixed continuous c,67,68,project_block_extension,0.00041289999353466555,0.00041060000148718245,0.0004138999975111801,3.2999960239976645e-06,0.0,2601,35912,
0,10,fixed continuous c,67,68,project_eigensolve,7.890000415500253e-05,7.860000187065452e-05,8.240000533987768e-05,3.8000034692231566e-06,0.0,,,
0,10,fixed continuous c,67,68,Boulsane_large_N_assembly,0.017823700000008103,0.01780969999890658,0.017880699997476768,7.099999857018702e-05,0.015625,0,36992,large_N
0,10,fixed continuous c,67,68,Boulsane_large_N_eigensolve,8.779999916441739e-05,8.635000267531723e-05,9.05499946384225e-05,4.199991963105276e-06,0.0,,,large_N
0,10,fixed continuous c,67,68,Boulsane_half_mesh_assembly,0.01694560000032652,0.016935400002694223,0.017053899999154964,0.00011849999646074139,0.015625,0,36992,half_mesh
0,10,fixed continuous c,67,68,Boulsane_half_mesh_eigensolve,8.140000136336312e-05,8.000000161700882e-05,8.444999912171625e-05,4.449997504707426e-06,0.0,,,half_mesh
0,10,fixed continuous c,67,68,Boulsane_next_zero_assembly,0.01777600000059465,0.017762950003088918,0.017972999998164596,0.00021004999507567845,0.015625,0,36992,next_zero
0,10,fixed continuous c,67,68,Boulsane_next_zero_eigensolve,8.800000068731606e-05,8.420000085607171e-05,9.194999802275561e-05,7.749997166683897e-06,0.0,,,next_zero
0,10,fixed continuous c,67,68,Boulsane_left_control_assembly,0.017876599995361175,0.01765615000476828,0.018328300000575837,0.0006721499958075583,0.015625,0,36992,left_control
0,10,fixed continuous c,67,68,Boulsane_left_control_eigensolve,8.199999865610152e-05,7.990000085555948e-05,8.584999886807054e-05,5.94999801251106e-06,0.0,,,left_control
0,10,fixed continuous c,67,68,Boulsane_right_control_assembly,0.018246300001919735,0.017881400002806913,0.018661649999557994,0.0007802499967510812,0.015625,0,36992,right_control
0,10,fixed continuous c,67,68,Boulsane_right_control_eigensolve,8.680000610183924e-05,8.40499997138977e-05,8.970000271801837e-05,5.650003004120663e-06,0.0,,,right_control
0,10,fixed continuous c,99,100,project_full_rebuild,0.005537700002605561,0.005517950001376448,0.005577749998337822,5.9799996961373836e-05,0.0,0,78408,
0,10,fixed continuous c,99,100,project_block_extension,0.0011057999945478514,0.0011000500016962178,0.0011134500018670224,1.340000017080456e-05,0.0,4489,78408,
0,10,fixed continuous c,99,100,project_eigensolve,0.0002175999979954213,0.00021085000116727315,0.00023275000057765283,2.1899999410379678e-05,0.0,,,
0,10,fixed continuous c,99,100,Boulsane_large_N_assembly,0.03772430000390159,0.0369252000018605,0.03854949999731616,0.001624299995455658,0.03125,0,80000,large_N
0,10,fixed continuous c,99,100,Boulsane_large_N_eigensolve,0.00021460000425577164,0.00020765000226674601,0.00022170000011101365,1.4049997844267637e-05,0.0,,,large_N
0,10,fixed continuous c,99,100,Boulsane_half_mesh_assembly,0.03843639999831794,0.03773600000567967,0.03909474999818485,0.0013587499925051816,0.03125,0,80000,half_mesh
0,10,fixed continuous c,99,100,Boulsane_half_mesh_eigensolve,0.00024300000222865492,0.00023275000057765283,0.00027075000252807513,3.80000019504223e-05,0.0,,,half_mesh
0,10,fixed continuous c,99,100,Boulsane_next_zero_assembly,0.03891699999803677,0.038705799997842405,0.03984494999895105,0.0011391500011086464,0.03125,0,80000,next_zero
0,10,fixed continuous c,99,100,Boulsane_next_zero_eigensolve,0.000395799994294066,0.0003691500023705885,0.0004150500026298687,4.5900000259280205e-05,0.0,,,next_zero
0,10,fixed continuous c,99,100,Boulsane_left_control_assembly,0.03905569999915315,0.03891689999727532,0.03934980000121868,0.0004329000039433595,0.03125,0,80000,left_control
0,10,fixed continuous c,99,100,Boulsane_left_control_eigensolve,0.00027889999910257757,0.00025785000252653845,0.0002932999996119179,3.544999708537944e-05,0.0,,,left_control
0,10,fixed continuous c,99,100,Boulsane_right_control_assembly,0.03751159999956144,0.03689844999826164,0.03772914999717614,0.000830699998914497,0.03125,0,80000,right_control
0,10,fixed continuous c,99,100,Boulsane_right_control_eigensolve,0.00024370000028284267,0.00021965000269119628,0.0002554499988036696,3.579999611247331e-05,0.0,,,right_control
0,20,fixed continuous c,38,39,project_full_rebuild,0.0018974000049638562,0.0018779500023811124,0.001959100001840852,8.114999945973977e-05,0.0,0,11552,
0,20,fixed continuous c,38,39,project_block_extension,0.00018909999926108867,0.0001882499964267481,0.0001915499997267034,3.3000032999552786e-06,0.0,676,11552,
0,20,fixed continuous c,38,39,project_eigensolve,2.8399997972883284e-05,2.7800000680144876e-05,2.9549999453593045e-05,1.7499987734481692e-06,0.0,,,
