n,c,M_n_c,m_knee,parameter_path,P,matched_total_dimension,project_error,augmented_error,project_P_plus_1_error,Boulsane_error,causal_ratio_or_upper_bound,causal_ratio_is_floor_upper_bound,matched_ratio_or_upper_bound,matched_ratio_is_floor_upper_bound,reference_endpoint_absolute_value,augmented_endpoint_absolute_value,augmented_endpoint_absolute_error,project_Rayleigh_residual,augmented_Rayleigh_residual,Boulsane_Rayleigh_residual,augmented_matrix_audit_passed,Boulsane_matrix_audit_passed,case_boundary_explanation_supported
0,20,6,6,fixed continuous c,38,39,0.025611609114686518,4.3800759419454494e-07,0.024945980207988994,0.0006074743039691799,1.7101916253414057e-05,False,1.7558243474204e-05,False,3.4765240401731874,3.4926176953087698,0.016093655135582363,0.0973788197386559,0.0004159801781778407,0.20470212914714148,True,True,True
0,20,6,6,fixed continuous c,54,55,0.017960845517840496,7.499022208756756e-08,0.01763223920936713,0.00030427265864702013,4.175205561067814e-06,False,4.25301750941134e-06,False,3.4765240401731874,3.484474355321006,0.007950315147818632,0.08237871627218618,0.00017212123391264098,0.19258821653165487,True,True,True
0,20,6,6,fixed continuous c,70,71,0.013838046604577825,2.0452553539662688e-08,0.01364247171929961,0.0001824046657238343,1.4779942663942676e-06,False,1.499182403341841e-06,False,3.4765240401731874,3.481253509288435,0.004729469115247742,0.0726929623955176,8.98889359218937e-05,0.18628071818461975,True,True,True
0,20,6,6,fixed continuous c,102,103,0.009488429417382482,3.1139215095343786e-09,0.009396183322006257,8.665339379876347e-05,3.281809214736613e-07,False,3.314028050348319e-07,False,3.4765240401731874,3.478752178937887,0.0022281387646994055,0.060524227668164315,3.50743013985816e-05,0.15722590006037368,True,True,True
0,40,12,12,fixed continuous c,17,18,0.11140830536663715,0.0013695167849461232,0.10267356546144923,0.025114649505010855,0.012292770996194014,False,0.013338552905911644,False,3.517378572083051,3.9287942995814453,0.4114157274983943,0.23388644630663444,0.029967614571447972,0.4512318589703907,True,True,True
0,40,12,12,fixed continuous c,20,21,0.08935850073944374,0.00045626025516487534,0.08409728656075655,0.016499643843376433,0.005105952443128643,False,0.005425386166713567,False,3.517378572083051,3.7869317621216956,0.26955319003864453,0.21675358723249855,0.01730886754896029,0.4157270162337627,True,True,True
0,40,12,12,fixed continuous c,24,25,0.0717979073978976,0.000151492234149897,0.06853103470926203,0.010789091596592582,0.00210998119082135,False,0.0022105639407400146,False,3.517378572083051,3.692692896648703,0.17531432456565188,0.19933177488995643,0.009976066910850467,0.3762892296235553,True,True,True
0,40,12,12,fixed continuous c,32,33,0.05229818766582606,3.0483893913246796e-05,0.05061521436359517,0.0057900664894390275,0.0005828862389655296,False,0.0006022674070737955,False,3.517378572083051,3.610549064124722,0.09317049204167116,0.17468432562488603,0.004475492594937616,0.3221832132236498,True,True,True
0,40,12,12,fixed continuous c,44,45,0.03751458071012337,5.6762501424723055e-06,0.03665996782624581,0.0030008801436798294,0.00015130783911282156,False,0.00015483510976811423,False,3.517378572083051,3.565179386508772,0.04780081442572115,0.1507180763098018,0.0019312790894842004,0.28359172779129027,True,True,True
0,40,12,12,fixed continuous c,60,61,0.027368288340426816,1.154499511435425e-06,0.026915579327327688,0.0016042682542418696,4.218384054840823e-05,False,4.2893355457641915e-05,False,3.517378572083051,3.5427198164935043,0.025341244410453267,0.13027914075320077,0.0008709891716636634,0.24490813081757434,True,True,True
