record_type,n,c,M_n_c,m_knee,parameter_path,path,N,epsilon_over_pi,omega,h,e_lambda,e_Rayleigh,Gamma,next_zero_normalized,half_mesh_scaled,matrix_audit_passed,Rayleigh_fit_slope,Rayleigh_fit_reported,Rayleigh_fit_compatible,oracle_deviation_from_half_mesh,oracle_absolute_deviation_over_h,oracle_O_h_support_case
fixed_offset,0,10,3,3,fixed continuous c,large_N,8,0.4983675587531871,0.38583016507126144,0.1212121212121212,0.009481558039647231,0.009334185591964167,-21.818109198383656,,0.6353080068530612,True,2.0057676665108284,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,large_N,11,0.49882251205322137,0.28294212105225836,0.08888888888888889,0.004880859267994642,0.0048434118852268004,-21.402856796022082,,0.6129943167240169,True,2.0057676665108284,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,large_N,15,0.4991416037947236,0.20872779421887913,0.06557377049180328,0.002598332715701257,0.0025879466306826804,-21.264817550179576,,0.6018593382981408,True,2.0057676665108284,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,large_N,23,0.4994433605439101,0.13690747792851213,0.043010752688172046,0.001101695749584769,0.0010998553132871292,-21.24754793379672,,0.5945405377887737,True,2.0057676665108284,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,large_N,35,0.49963555505556473,0.09030067693157183,0.028368794326241138,0.00047635752855693103,0.0004760155365051144,-21.294753110866814,,0.5914790550786361,True,2.0057676665108284,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,large_N,51,0.499750446774102,0.062109246084642085,0.01951219512195122,0.00022479820004198126,0.00022472222594788205,-21.34523791552132,,0.5902469715912338,True,2.0057676665108284,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,large_N,67,0.4998102627421484,0.047332325083091556,0.014869888475836432,0.00013043496888348605,0.00013040941447675647,-21.378287055906764,,0.5897847275595358,True,2.0057676665108284,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,large_N,99,0.499871746197756,0.03207152505630133,0.010075566750629723,5.984347145759905e-05,5.983809606516233e-05,-21.4171818000154,,0.5894389051708856,True,2.0057676665108284,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,half_mesh,8,0.5,0.38575383531709323,0.12118814151262669,0.009917201461727893,0.009785795928027557,,,0.6663093445881408,True,2.006224191556744,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,half_mesh,11,0.5,0.28291250984600624,0.08887958625408632,0.005109370697314514,0.005076035304233895,,,0.6425702070636464,True,2.006224191556744,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,half_mesh,15,0.5,0.20871604595252988,0.06557007966507776,0.0027206791871243197,0.0027114378241806236,,,0.6306497493660562,True,2.006224191556744,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,half_mesh,23,0.5,0.13690420023906882,0.04300972297166446,0.0011535774475884275,0.0011519396859886455,,,0.6227252133653945,True,2.006224191556744,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,half_mesh,35,0.5,0.09029974333483588,0.02836850102817643,0.000498733293779835,0.0004984288566982353,,,0.6193418126336298,True,2.006224191556744,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,half_mesh,51,0.5,0.062108943655622646,0.01951210011107265,0.00023533110407078506,0.00023526345149871286,,,0.6179401771939483,True,2.006224191556744,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,half_mesh,67,0.5,0.04733219154137808,0.014869846522469832,0.00013653671298996528,0.00013651395310690373,,,0.6173963688427856,True,2.006224191556744,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,half_mesh,99,0.5,0.032071483612576224,0.01007555373069949,6.263774935783006e-05,6.263296071692959e-05,,,0.6169714886368884,True,2.006224191556744,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,next_zero,8,0.9998137720693441,0.3637226104406057,0.11426682809047091,0.11498614839398158,0.04987964976355469,0.403942263686517,0.2018959065113877,,True,0.9076973333658701,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,next_zero,11,0.9998998872438296,0.2708771936570008,0.08509858016178533,0.08717672451690109,0.05707909604940878,0.6205774979276848,0.3102266212401075,,True,0.9076973333658701,True,True,,,
fixed_offset,0,10,3,3,fixed continuous c,next_zero,15,0.9999455283123362,0.20209119973127931,0.06348882284309347,0.06591284751724955,0.05113010601833959,0.7450424540825077,0.3724806433213988,,True,0.9076973333658701,True,True,,,
