method,n,c,parameter_path,dimension_old,dimension_new,block_defect_norm_2,relative_block_defect,raw_negative_increment_count,significant_negative_increment_count,minimum_increment
project,2,20,fixed continuous c,17,25,0.0,0.0,0,0,3.796603865305377e-17
project,2,20,fixed continuous c,25,37,0.0,0.0,1,0,-2.366922235554277e-17
project,2,20,fixed continuous c,37,53,0.0,0.0,0,0,8.646774822815854e-19
project,2,20,fixed continuous c,53,69,0.0,0.0,5,0,-8.137894991901224e-17
project,2,20,fixed continuous c,69,101,0.0,0.0,2,0,-2.644390310317733e-18
project,2,40,fixed continuous c,16,19,0.0,0.0,1,0,-3.3306690738754696e-16
project,2,40,fixed continuous c,19,23,0.0,0.0,4,0,-3.3306690738754696e-16
project,2,40,fixed continuous c,23,31,0.0,0.0,4,0,-1.2212453270876722e-15
project,2,40,fixed continuous c,31,43,0.0,0.0,3,0,-3.3306690738754696e-16
project,2,40,fixed continuous c,43,59,0.0,0.0,8,0,-2.220446049250313e-16
project,2,40,fixed continuous c,59,75,0.0,0.0,13,0,-8.881784197001252e-16
project,2,40,fixed continuous c,75,107,0.0,0.0,10,0,-1.1102230246251565e-15
project,2,80,fixed continuous c,29,32,0.0,0.0,8,0,-6.661338147750939e-16
project,2,80,fixed continuous c,32,36,0.0,0.0,0,0,0.0
project,2,80,fixed continuous c,36,44,0.0,0.0,13,0,-1.7763568394002505e-15
project,2,80,fixed continuous c,44,56,0.0,0.0,4,0,-2.4787072038759763e-16
project,2,80,fixed continuous c,56,72,0.0,0.0,9,0,-8.881784197001252e-16
project,2,80,fixed continuous c,72,88,0.0,0.0,23,0,-9.992007221626409e-16
project,2,80,fixed continuous c,88,120,0.0,0.0,1,0,-4.440892098500626e-16
project,4,10,fixed continuous c,6,9,0.0,0.0,0,0,1.6863848951454265e-11
project,4,10,fixed continuous c,9,13,0.0,0.0,0,0,5.619110246964938e-18
project,4,10,fixed continuous c,13,21,0.0,0.0,0,0,1.172590325883243e-18
project,4,10,fixed continuous c,21,33,0.0,0.0,0,0,2.841742110632293e-18
project,4,10,fixed continuous c,33,49,0.0,0.0,0,0,1.8316937537837902e-18
project,4,10,fixed continuous c,49,65,0.0,0.0,13,0,-2.1072289439779554e-17
project,4,10,fixed continuous c,65,97,0.0,0.0,0,0,3.077386799691226e-19
project,4,20,fixed continuous c,9,12,0.0,0.0,0,0,3.0007563101008827e-10
project,4,20,fixed continuous c,12,16,0.0,0.0,0,0,1.0246702027660714e-16
project,4,20,fixed continuous c,16,24,0.0,0.0,0,0,2.0654414394528052e-17
