n,c,M_n_c,parameter_path,category,available,m,lambda_ref,u_ref,gap,knee_endpoint_absolute_value
4,10,1,fixed continuous c,knee,True,1,0.43867839275972675,4.0190073491430667e-13,0.42640755248282664,2.459210364256834
4,10,1,fixed continuous c,tail,True,3,5.634012777046529e-05,1.1102230246251565e-13,5.623317237741466e-05,
4,20,4,fixed continuous c,deep,False,,,,,
4,20,4,fixed continuous c,edge,True,0,0.9999999976358277,4.54081217071689e-13,1.7176277467001455e-06,
4,20,4,fixed continuous c,knee,True,4,0.4926583178053163,8.698597397938101e-13,0.46164053716143655,3.153665291076467
4,20,4,fixed continuous c,tail,True,6,0.00044656409660448287,1.1102230246251565e-13,0.00044334765039082423,
4,40,11,fixed continuous c,deep,True,0,1.000000000000024,4.651834473179406e-13,1.5543122344752192e-15,
4,40,11,fixed continuous c,edge,True,6,0.9999999558410161,4.640732242933154e-13,4.391658559033118e-08,
4,40,11,fixed continuous c,knee,True,10,0.6971575499716304,1.4299672557172016e-12,0.2849505430114009,3.312286108435428
4,40,11,fixed continuous c,tail,True,13,8.045245057325473e-05,1.1102230246251565e-13,7.941625746623136e-05,
4,80,23,fixed continuous c,deep,True,0,1.000000000000014,2.886579864025407e-13,0.0,
4,80,23,fixed continuous c,edge,True,18,0.999999967113174,1.1102230246251565e-13,3.2443848385632634e-08,
4,80,23,fixed continuous c,knee,True,23,0.4973677275998237,8.26561041833429e-13,0.4339528708943948,5.71427442868905
4,80,23,fixed continuous c,tail,True,26,8.993916234791507e-05,1.1102230246251565e-13,8.786123996496448e-05,
